"","CodigoMateria","DataApresentacao","AnoMateria","Legislatura","class_tematica","TipoIniciativa","Autor","autor_un","Sexo","partido","uf","regiao"
"158",125507,"2016-04-12",2016,"55ª","Crimes e Infrações Ambientais","Individual","Senador José Serra (PSDB/SP)","José Serra","M","PSDB","SP","Sudeste"
"159",131097,"2017-10-03",2017,"55ª","Conservação da Natureza e Florestas","Individual","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO","Norte"
"160",131907,"2017-12-12",2017,"55ª","Crimes e Infrações Ambientais","Individual","Senador Sérgio de Castro (PDT/ES)","Sérgio de Castro","M","PDT","ES","Sudeste"
"161",128432,"2017-03-22",2017,"55ª","Recursos Hídricos","Individual","Senador Elmano Férrer (MDB/PI)","Elmano Férrer","M","MDB","PI","Nordeste"
"162",129058,"2017-05-02",2017,"55ª","Conservação da Natureza e Florestas","Individual","Senador Raimundo Lira (MDB/PB)","Raimundo Lira","M","MDB","PB","Nordeste"
"163",128399,"2017-03-21",2017,"55ª","Sustentabilidade e Energias Renováveis","Individual","Senador Davi Alcolumbre (DEM/AP)","Davi Alcolumbre","M","DEM","AP","Norte"
"164",128425,"2017-03-22",2017,"55ª","Recursos Hídricos","Individual","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA","Nordeste"
"165",128429,"2017-03-22",2017,"55ª","Recursos Hídricos","Individual","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA","Nordeste"
"166",129298,"2017-05-29",2017,"55ª","Conservação da Natureza e Florestas","Individual","Senador Telmário Mota (PTB/RR)","Telmário Mota","M","PTB","RR","Norte"
"167",130192,"2017-08-01",2017,"55ª","Resíduos Sólidos","Individual","Senadora Rose de Freitas (MDB/ES)","Rose de Freitas","F","MDB","ES","Sudeste"
"168",131136,"2017-10-05",2017,"55ª","Política Fundiária e Reforma Agrária","Individual","Senador Cidinho Santos (PL/MT)","Cidinho Santos","M","PL","MT","Centro-Oeste"
"169",131523,"2017-11-08",2017,"55ª","Política Fundiária e Reforma Agrária","Individual","Senador Vicentinho Alves (PL/TO)","Vicentinho Alves","M","PL","TO","Norte"
"170",131656,"2017-11-21",2017,"55ª","Sustentabilidade e Energias Renováveis","Individual","Senador Telmário Mota (PTB/RR)","Telmário Mota","M","PTB","RR","Norte"
"171",131332,"2017-10-24",2017,"55ª","Conservação da Natureza e Florestas","Individual","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO","Norte"
"172",130848,"2017-09-14",2017,"55ª","Resíduos Sólidos","Individual","Senadora Rose de Freitas (MDB/ES)","Rose de Freitas","F","MDB","ES","Sudeste"
"173",131072,"2017-10-03",2017,"55ª","Recursos Hídricos","Individual","Senador José Pimentel (PT/CE)","José Pimentel","M","PT","CE","Nordeste"
"174",128531,"2017-03-29",2017,"55ª","Resíduos Sólidos","Individual","Senador José Medeiros (PSD/MT)","José Medeiros","M","PSD","MT","Centro-Oeste"
"175",128654,"2017-04-05",2017,"55ª","Conservação da Natureza e Florestas","Individual","Senador Flexa Ribeiro (PSDB/PA)","Flexa Ribeiro","M","PSDB","PA","Norte"
"176",131906,"2017-12-12",2017,"55ª","Recursos Hídricos","Individual","Senador Tasso Jereissati (PSDB/CE)","Tasso Jereissati","M","PSDB","CE","Nordeste"
"177",133434,"2018-05-28",2018,"55ª","Resíduos Sólidos","Coletiva","Comissão de Direitos Humanos e Legislação Participativa","Comissão de Direitos Humanos e Legislação Participativa",NA,NA,NA,NA
"178",133783,"2018-06-26",2018,"55ª","Educação Ambiental","Individual","Senador Lasier Martins (PSD/RS)","Lasier Martins","M","PSD","RS","Sul"
"179",134055,"2018-08-08",2018,"55ª","Proteção aos Animais","Individual","Senador Rudson Leite (PV/RR)","Rudson Leite","M","PV","RR","Norte"
"180",132156,"2018-02-06",2018,"55ª","Crimes e Infrações Ambientais","Individual","Senador Lasier Martins (PSD/RS)","Lasier Martins","M","PSD","RS","Sul"
"181",132458,"2018-03-07",2018,"55ª","Resíduos Sólidos","Individual","Senadora Rose de Freitas (MDB/ES)","Rose de Freitas","F","MDB","ES","Sudeste"
"182",133766,"2018-06-26",2018,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Rudson Leite (PV/RR)","Rudson Leite","M","PV","RR","Norte"
"183",134061,"2018-08-08",2018,"55ª","Crimes e Infrações Ambientais","Individual","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO","Norte"
"184",133065,"2018-04-25",2018,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Coletiva","Senador Dalirio Beber (PSDB/SC), Senador Paulo Bauer (PSDB/SC), Senador Dário Berger (MDB/SC)","Dalirio Beber","M","PSDB","SC","Sul"
"185",133065,"2018-04-25",2018,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Coletiva","Senador Dalirio Beber (PSDB/SC), Senador Paulo Bauer (PSDB/SC), Senador Dário Berger (MDB/SC)","Paulo Bauer","M","PSDB","SC","Sul"
"186",133065,"2018-04-25",2018,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Coletiva","Senador Dalirio Beber (PSDB/SC), Senador Paulo Bauer (PSDB/SC), Senador Dário Berger (MDB/SC)","Dário Berger","M","MDB","SC","Sul"
"187",133684,"2018-06-19",2018,"55ª","Resíduos Sólidos","Individual","Senador Hélio José (PROS/DF)","Hélio José","M","PROS","DF","Centro-Oeste"
"188",132460,"2018-03-07",2018,"55ª","Resíduos Sólidos","Individual","Senadora Rose de Freitas (MDB/ES)","Rose de Freitas","F","MDB","ES","Sudeste"
"189",132865,"2018-04-10",2018,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO","Norte"
"190",133890,"2018-07-10",2018,"55ª","Crimes e Infrações Ambientais","Individual","Senador Gladson Cameli (PP/AC)","Gladson Cameli","M","PP","AC","Norte"
"191",134695,"2018-11-27",2018,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador José Serra (PSDB/SP)","José Serra","M","PSDB","SP","Sudeste"
"192",134725,"2018-11-28",2018,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Roberto Rocha (PSDB/MA)","Roberto Rocha","M","PSDB","MA","Nordeste"
"193",132454,"2018-03-07",2018,"55ª","Resíduos Sólidos","Individual","Senadora Rose de Freitas (MDB/ES)","Rose de Freitas","F","MDB","ES","Sudeste"
"194",132837,"2018-04-05",2018,"55ª","Recursos Hídricos","Individual","Senadora Rose de Freitas (MDB/ES)","Rose de Freitas","F","MDB","ES","Sudeste"
"195",134199,"2018-09-04",2018,"55ª","Recursos Hídricos","Individual","Senador Pedro Chaves (REPUBLICANOS/MS)","Pedro Chaves","M","REPUBLICANOS","MS","Centro-Oeste"
"196",134204,"2018-09-04",2018,"55ª","Resíduos Sólidos","Individual","Senador Aécio Neves (PSDB/MG)","Aécio Neves","M","PSDB","MG","Sudeste"
"197",132457,"2018-03-07",2018,"55ª","Resíduos Sólidos","Individual","Senadora Rose de Freitas (MDB/ES)","Rose de Freitas","F","MDB","ES","Sudeste"
"198",133017,"2018-04-23",2018,"55ª","Conservação da Natureza e Florestas","Individual","Senadora Ana Amélia (PP/RS)","Ana Amélia","F","PP","RS","Sul"
"199",133347,"2018-05-22",2018,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Eduardo Amorim (PSDB/SE)","Eduardo Amorim","M","PSDB","SE","Nordeste"
"200",134285,"2018-10-09",2018,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Hélio José (PROS/DF)","Hélio José","M","PROS","DF","Centro-Oeste"
"201",134313,"2018-10-16",2018,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Hélio José (PROS/DF)","Hélio José","M","PROS","DF","Centro-Oeste"
"202",134869,"2018-12-11",2018,"55ª","Conservação da Natureza e Florestas","Individual","Senador Cidinho Santos (PL/MT)","Cidinho Santos","M","PL","MT","Centro-Oeste"
"203",134922,"2018-12-13",2018,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Dalirio Beber (PSDB/SC)","Dalirio Beber","M","PSDB","SC","Sul"
"204",132144,"2018-02-05",2018,"55ª","Crimes e Infrações Ambientais","Coletiva","Comissão Mista de Desburocratização (ATN nº 3, de 2016 )","Comissão Mista de Desburocratização (ATN nº 3, de 2016 )",NA,NA,NA,NA
"205",133385,"2018-05-23",2018,"55ª","Conservação da Natureza e Florestas","Individual","Senador Wellington Fagundes (PL/MT)","Wellington Fagundes","M","PL","MT","Centro-Oeste"
"206",134775,"2018-12-05",2018,"55ª","Crimes e Infrações Ambientais","Coletiva","Senador Randolfe Rodrigues (REDE/AP), Senador Eunício Oliveira (MDB/CE)","Randolfe Rodrigues","M","REDE","AP","Norte"
"207",134775,"2018-12-05",2018,"55ª","Crimes e Infrações Ambientais","Coletiva","Senador Randolfe Rodrigues (REDE/AP), Senador Eunício Oliveira (MDB/CE)","Eunício Oliveira","M","MDB","CE","Nordeste"
"208",134681,"2018-11-27",2018,"55ª","Crimes e Infrações Ambientais","Individual","Senador José Medeiros (PODEMOS/MT)","José Medeiros","M","PODEMOS","MT","Centro-Oeste"
