"","CodigoMateria","DataApresentacao","AnoMateria","Legislatura","class_tematica","TipoIniciativa","Autor","autor_un","Sexo","partido","uf","regiao"
"36",111918,"2013-03-27",2013,"54ª","Crimes e Infrações Ambientais","Individual","Senador Paulo Paim (PT/RS)","Paulo Paim","M","PT","RS","Sul"
"37",115227,"2013-11-12",2013,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA","Nordeste"
"38",114926,"2013-10-22",2013,"54ª","Proteção aos Animais","Individual","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO","Norte"
"39",115855,"2013-12-17",2013,"54ª","Educação Ambiental","Individual","Senadora Vanessa Grazziotin (PCdoB/AM)","Vanessa Grazziotin","F","PC","AM","Norte"
"40",113339,"2013-06-25",2013,"54ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Cícero Lucena (PSDB/PB)","Cícero Lucena","M","PSDB","PB","Nordeste"
"41",113552,"2013-07-04",2013,"54ª","Resíduos Sólidos","Individual","Senador Vital do Rêgo (MDB/PB)","Vital do Rêgo","M","MDB","PB","Nordeste"
"42",115630,"2013-12-04",2013,"54ª","Recursos Hídricos","Individual","Senador Eduardo Braga (MDB/AM)","Eduardo Braga","M","MDB","AM","Norte"
"43",115920,"2013-12-20",2013,"54ª","Sustentabilidade e Energias Renováveis","Coletiva","Comissão de Direitos Humanos e Legislação Participativa","Comissão de Direitos Humanos e Legislação Participativa",NA,NA,NA,NA
"44",113834,"2013-08-06",2013,"54ª","Política Fundiária e Reforma Agrária","Individual","Senador Pedro Simon (MDB/RS)","Pedro Simon","M","MDB","RS","Sul"
"45",114514,"2013-09-24",2013,"54ª","Conservação da Natureza e Florestas","Individual","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO","Norte"
"46",115760,"2013-12-11",2013,"54ª","Resíduos Sólidos","Individual","Senador Pedro Taques (PDT/MT)","Pedro Taques","M","PDT","MT","Centro-Oeste"
"47",112744,"2013-05-16",2013,"54ª","Recursos Hídricos","Individual","Senador Wilder Morais (DEM/GO)","Wilder Morais","M","DEM","GO","Centro-Oeste"
"48",113724,"2013-07-15",2013,"54ª","Recursos Hídricos","Individual","Senador Cyro Miranda (PSDB/GO)","Cyro Miranda","M","PSDB","GO","Centro-Oeste"
"49",113903,"2013-08-08",2013,"54ª","Conservação da Natureza e Florestas","Individual","Senador Romero Jucá (MDB/RR)","Romero Jucá","M","MDB","RR","Norte"
"50",114197,"2013-09-02",2013,"54ª","Política Fundiária e Reforma Agrária","Coletiva","Senadora Kátia Abreu (PSD/TO) e outros.","Kátia Abreu","F","PSD","TO","Norte"
"51",112115,"2013-04-04",2013,"54ª","Recursos Hídricos","Individual","Senador João Durval (PDT/BA)","João Durval","M","PDT","BA","Nordeste"
"52",114354,"2013-09-12",2013,"54ª","Política Fundiária e Reforma Agrária","Individual","Senador Aloysio Nunes Ferreira (PSDB/SP)","Aloysio Nunes Ferreira","M","PSDB","SP","Sudeste"
"53",114393,"2013-09-17",2013,"54ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Aloysio Nunes Ferreira (PSDB/SP)","Aloysio Nunes Ferreira","M","PSDB","SP","Sudeste"
"54",115631,"2013-12-04",2013,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senador Eduardo Braga (MDB/AM)","Eduardo Braga","M","MDB","AM","Norte"
"55",111251,"2013-03-05",2013,"54ª","Resíduos Sólidos","Individual","Senador Vital do Rêgo (MDB/PB)","Vital do Rêgo","M","MDB","PB","Nordeste"
"56",112860,"2013-05-23",2013,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senador Ciro Nogueira (PP/PI)","Ciro Nogueira","M","PP","PI","Nordeste"
"57",113566,"2013-07-04",2013,"54ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Blairo Maggi (PL/MT)","Blairo Maggi","M","PL","MT","Centro-Oeste"
"58",116214,"2014-02-19",2014,"54ª","Proteção aos Animais","Individual","Senador Humberto Costa (PT/PE)","Humberto Costa","M","PT","PE","Nordeste"
"59",118404,"2014-08-05",2014,"54ª","Recursos Hídricos","Individual","Senadora Kátia Abreu (MDB/TO)","Kátia Abreu","F","MDB","TO","Norte"
"60",119356,"2014-12-09",2014,"54ª","Conservação da Natureza e Florestas","Individual","Senador Wilder Morais (DEM/GO)","Wilder Morais","M","DEM","GO","Centro-Oeste"
"61",119357,"2014-12-09",2014,"54ª","Resíduos Sólidos","Individual","Senadora Vanessa Grazziotin (PCdoB/AM)","Vanessa Grazziotin","F","PC","AM","Norte"
"62",118845,"2014-11-07",2014,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senador Fleury (DEM/GO)","Fleury","M","DEM","GO","Centro-Oeste"
"63",119534,"2014-12-18",2014,"54ª","Resíduos Sólidos","Coletiva","Subcomissão Temporária de Resíduos Sólidos","Subcomissão Temporária de Resíduos Sólidos",NA,NA,NA,NA
"64",116010,"2014-02-04",2014,"54ª","Recursos Hídricos","Individual","Senador Cássio Cunha Lima (PSDB/PB)","Cássio Cunha Lima","M","PSDB","PB","Nordeste"
"65",118684,"2014-10-16",2014,"54ª","Recursos Hídricos","Individual","Senador Kaká Andrade (PDT/SE)","Kaká Andrade","M","PDT","SE","Nordeste"
"66",119355,"2014-12-09",2014,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senador Wilder Morais (DEM/GO)","Wilder Morais","M","DEM","GO","Centro-Oeste"
"67",119536,"2014-12-18",2014,"54ª","Resíduos Sólidos","Coletiva","Subcomissão Temporária de Resíduos Sólidos","Subcomissão Temporária de Resíduos Sólidos",NA,NA,NA,NA
"68",116415,"2014-03-12",2014,"54ª","Conservação da Natureza e Florestas","Individual","Senador Romero Jucá (MDB/RR)","Romero Jucá","M","MDB","RR","Norte"
"69",118989,"2014-11-18",2014,"54ª","Sustentabilidade e Energias Renováveis","Individual","Senadora Vanessa Grazziotin (PCdoB/AM)","Vanessa Grazziotin","F","PC","AM","Norte"
"70",116261,"2014-02-21",2014,"54ª","Empreendimentos Ambientais e Espaços Urbanos","Coletiva","Comissão de Meio Ambiente","Comissão de Meio Ambiente",NA,NA,NA,NA
"71",117456,"2014-05-07",2014,"54ª","Conservação da Natureza e Florestas","Individual","Senador João Capiberibe (PSB/AP)","João Capiberibe","M","PSB","AP","Norte"
"72",118564,"2014-09-02",2014,"54ª","Recursos Hídricos","Individual","Senador Antonio Carlos Valadares (PSB/SE)","Antonio Carlos Valadares","M","PSB","SE","Nordeste"
"73",119027,"2014-11-19",2014,"54ª","Recursos Hídricos","Individual","Senador Kaká Andrade (PDT/SE)","Kaká Andrade","M","PDT","SE","Nordeste"
"74",116216,"2014-02-19",2014,"54ª","Proteção aos Animais","Individual","Senador Alvaro Dias (PSDB/PR)","Alvaro Dias","M","PSDB","PR","Sul"
"75",116460,"2014-03-13",2014,"54ª","Política Fundiária e Reforma Agrária","Coletiva","Senador Roberto Requião (MDB/PR) e outros.","Roberto Requião","M","MDB","PR","Sul"
"76",119024,"2014-11-19",2014,"54ª","Recursos Hídricos","Individual","Senador Kaká Andrade (PDT/SE)","Kaká Andrade","M","PDT","SE","Nordeste"
"77",119418,"2014-12-11",2014,"54ª","Resíduos Sólidos","Individual","Senador Cícero Lucena (PSDB/PB)","Cícero Lucena","M","PSDB","PB","Nordeste"
"78",119400,"2014-12-10",2014,"54ª","Recursos Hídricos","Coletiva","Comissão de Serviços de Infraestrutura","Comissão de Serviços de Infraestrutura",NA,NA,NA,NA
"79",120655,"2015-04-13",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senador Alvaro Dias (PSDB/PR)","Alvaro Dias","M","PSDB","PR","Sul"
"80",120999,"2015-04-30",2015,"55ª","Recursos Hídricos","Individual","Senador Eunício Oliveira (MDB/CE)","Eunício Oliveira","M","MDB","CE","Nordeste"
"81",122989,"2015-09-02",2015,"55ª","Conservação da Natureza e Florestas","Individual","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA","Nordeste"
