CodigoMateria,Autor,DataApresentacao,Subtemas,EmentaMateria,docs,docs_lemed,docs_clean,doc_id,topic,label_proposto_e1,review_reclass,interpretacao_LDA
126668,Senador Cidinho Santos (PL/MT),2016-08-11,Política Fundiária e Reforma Agrária,Autoriza a concessão de desconto do saldo devedor e ampliação do prazo de pagamento de operações de crédito rural contratadas no âmbito do Fundo de Terras e da Reforma Agrária e do Programa Nacional de Crédito Fundiário.,autoriza  concessao  desconto  saldo devedor  ampliacao  prazo  pagamento  operacoes  credito rural contratadas  ambito  fundo  terras   reforma agraria   programa nacional  credito fundiario,autorizar concessao desconto salr devedor ampliacao prazo pagamento operacoe credito rural contratar ambito fundo terra reforma agrazer programa nacional creditar fundiario, concessao desconto salr devedor ampliacao prazo pagamento operacoe credito rural contratar ambito fundo terra reforma agrazer programa nacional creditar fundiario,157,1,Recursos Hídricos,Política Fundiária e Reforma Agrária,
115630,Senador Eduardo Braga (MDB/AM),2013-12-04,Recursos Hídricos,Cria a Tarifa Social de Água e Esgoto e dá outras Providências.,cria  tarifa social  agua  esgoto  da outras providencias,criar tarifa social aguar esgoto NA de o outro providencia, tarifa social aguar esgoto de o ,42,1,Recursos Hídricos,,
113724,Senador Cyro Miranda (PSDB/GO),2013-07-15,Recursos Hídricos,"Altera a Lei nº 11.445, de 5 de janeiro de 2007, para regular a cobrança pela prestação dos serviços de esgotamento sanitário.",altera  lei n      janeiro    regular  cobranca  prestacao  servicos  esgotamento sanitario,alterar lei n janeiro regular cobrancar prestacao servico esgotamento sanitario,  regular cobrancar prestacao servico esgotamento sanitario,48,1,Recursos Hídricos,,
116010,Senador Cássio Cunha Lima (PSDB/PB),2014-02-04,Recursos Hídricos,"Dispõe sobre incentivos para fomentar a reutilização de recursos hídricos no âmbito da Contribuição para o Programa de Integração Social e de Formação do Patrimônio do Servidor Público - PIS/PASEP, da Contribuição para o Financiamento da Seguridade Social - COFINS, do Imposto sobre Produtos Industrializados - IPI e Imposto de Renda Pessoa Jurídica - IRPJ.",dispoe sobre incentivos  fomentar  reutilizacao  recursos hidricos  ambito  contribuicao   programa  integracao social   formacao  patrimonio  servidor publico  pispasep  contribuicao   financiamento  seguridade social  cofins  imposto sobre produtos industrializados  ipi  imposto  renda pessoa juridica  irpj,dispoe sobre incentivo fomentar reutilizacao recurso hidrico ambito contribuicao programar integracao social formacao patrimonio servidor publico pispasep contribuicao financiamento seguridade social cofim impor sobre produto industrializar ipi imposto render pessoa juridico irpj, incentivo fomentar reutilizacao recurso hidrico ambito contribuicao programar integracao social formacao patrimonio servidor publico pispasep contribuicao financiamento seguridade social cofim impor produto industrializar ipi imposto render pessoa juridico irpj,64,1,Recursos Hídricos,,
119621,Senador Ivo Cassol (PP/RO),2015-02-04,Recursos Hídricos,"Altera a Lei nº 11.977, de 7 de julho de 2009, que dispõe sobre o Programa Minha Casa, Minha Vida – PMCMV e a regularização fundiária de assentamentos localizados em áreas urbanas; altera o Decreto-Lei nº 3.365, de 21 de junho de 1941, as Leis nºs 4.380, de 21 de agosto de 1964, 6.015, de 31 de dezembro de 1973, 8.036, de 11 de maio de 1990, e 10.257, de 10 de julho de 2001, e a Medida Provisória nº 2.197-43, de 24 de agosto de 2001; e dá outras providências, para determinar a exigência de sistemas de captação de águas pluviais.",altera  lei n      julho    dispoe sobre  programa  casa  vida  pmcmv   regularizacao fundiaria  assentamentos localizados  areas urbanas altera  decretolei n      junho    leis n s     agosto       dezembro       maio        julho     medida provisoria n      agosto    da outras providencias  determinar  exigencia  sistemas  captacao  aguas pluviais,alterar lei n julho dispoe sobre programa caso ver pmcmv regularizacao fundiar assentamento localizar area urbano alterar decretolar n junho lei n s agosto dezembrar maio julho medida provisoria n agosto NA de o outro providencia determinar exigenciar sistema captacao agua pluvial,   programa caso ver pmcmv regularizacao fundiar assentamento localizar area urbano decretolar   s dezembrar  medida provisoria  de o  determinar exigenciar sistema captacao agua pluvial,100,1,Recursos Hídricos,,
124175,Senadora Lídice da Mata (PSB/BA),2015-11-24,Recursos Hídricos,"Altera a Lei nº 11.445, de 5 de janeiro de 2007, para tornar obrigatória a implantação de sistemas de reúso direto não potável nas instalações e infraestruturas de abastecimento de água e de esgotamento sanitário construídas com recursos da União e para exigir a adequação de novas edificações nas localidades onde houver sistemas de reúso.",altera  lei n      janeiro    tornar obrigatoria  implantacao  sistemas  reuso direto  potavel  instalacoes  infraestruturas  abastecimento  agua   esgotamento sanitario construidas  recursos  uniao   exigir  adequacao  novas edificacoes  localidades onde  sistemas  reuso,alterar lei n janeiro tornar obrigatoria implantacao sistema reuso direto potavel instalacoe infraestruturo abastecimente aguar esgotamento sanitario construir recurso uniao exigir adequacao novo edificacoe localidade onde sistem reuso,  tornar obrigatoria implantacao sistema reuso direto potavel instalacoe infraestruturo abastecimente aguar esgotamento sanitario construir recurso uniao exigir adequacao novo edificacoe localidade onde sistem reuso,137,1,Recursos Hídricos,,
128429,Senadora Lídice da Mata (PSB/BA),2017-03-22,Recursos Hídricos,"Altera a Lei nº 11.445, de 5 de janeiro de 2007, para aprimorar o controle social na prestação dos serviços de abastecimento de água potável.",altera  lei n      janeiro    aprimorar  controle social  prestacao  servicos  abastecimento  agua potavel,alterar lei n janeiro aprimorar controle social prestacao servico abastecimento aguar potavel,  aprimorar controle social prestacao servico abastecimento aguar potavel,165,1,Recursos Hídricos,,
106176,Senador Rodrigo Rollemberg (PSB/DF),2012-06-25,Meio Ambiente,Institui Política de Desenvolvimento Sustentável do Cerrado.,institui politica  desenvolvimento sustentavel  cerrado,instituir politico desenvolvimento sustentavel cerrado, politico desenvolvimento sustentavel cerrado,34,2,Recursos Hídricos,Conservação da Natureza e Florestas,
113903,Senador Romero Jucá (MDB/RR),2013-08-08,Meio Ambiente,"Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa, para explicitar sua aplicação ao ecossistema do lavrado.",altera  lei n      maio    dispoe sobre  protecao  vegetacao nativa  explicitar  aplicacao  ecossistema  lavrado,alterar lei n maio dispoar sobre protecao vegetacao nativo explicitar aplicacao ecossistema lavrar,   protecao vegetacao nativo explicitar aplicacao ecossistema lavrar,49,2,Recursos Hídricos,Conservação da Natureza e Florestas,
118684,Senador Kaká Andrade (PDT/SE),2014-10-16,Meio Ambiente,"Altera a Lei nº 9.433, de 8 de janeiro de 1997, que institui a Política Nacional de Recursos Hídricos, cria o Sistema Nacional de Gerenciamento de Recursos Hídricos, regulamenta o inciso XIX do art. 21 da Constituição Federal, e altera o art. 1º da Lei nº 8.001, de 13 de março de 1990, que modificou a Lei nº 7.990, de 28 de dezembro de 1989, e a Lei nº 9.984, de 17 de julho de 2000, que dispõe sobre a criação da Agência Nacional de Águas - ANA, entidade federal de implementação da Política Nacional de Recursos Hídricos e de coordenação do Sistema Nacional de Gerenciamento de Recursos Hídricos, e dá outras providências, para atribuir aos Comitês de Bacia Hidrográfica a competência de decidir sobre as alterações de vazão outorgada de reservatórios regularizadores existentes na sua respectiva bacia.",altera  lei n      janeiro    institui  politica nacional  recursos hidricos cria  sistema nacional  gerenciamento  recursos hidricos regulamenta  inciso xix  art   constituicao federal  altera  art    lei n      marco    modificou  lei n      dezembro     lei n      julho    dispoe sobre  criacao  agencia nacional  aguas  ana entidade federal  implementacao  politica nacional  recursos hidricos   coordenacao  sistema nacional  gerenciamento  recursos hidricos  da outras providencias  atribuir  comites  bacia hidrografica  competencia  decidir sobre  alteracoes  vazao outorgada  reservatorios regularizadores existentes   respectiva bacia,alterar lei n janeiro instituir politico nacional recurso hidrico criar sistema nacional gerenciamento recurso hidrico regulamentar inciso xix art constituicao federal alterar art lei n marco modificar lei n dezembro lar n julho dispoe sobre criacao agencia nacional aguo ano entidade federal implementacao politico nacional recurso hidrico coordenacao sistema nacional gerenciamento recurso hidrico NA de o outro providencia atribuir comite bacio hidrografico competencia decidir sobre alteracoe vazao outorgar reservatorio regularizador existente respectivo bacia,   politico nacional recurso hidrico sistema nacional gerenciamento recurso hidrico regulamentar inciso xix constituicao federal   modificar  lar   criacao agencia nacional aguo ano entidade federal implementacao politico nacional recurso hidrico coordenacao sistema nacional gerenciamento recurso hidrico de o  atribuir comite bacio hidrografico competencia decidir alteracoe vazao outorgar reservatorio regularizador existente respectivo bacia,65,2,Recursos Hídricos,,
