"","AnoMateria","DataApresentacao","Autor","autor_un","Sexo","partido","uf"
"59",2014,"2014-02-04","Senador Cássio Cunha Lima (PSDB/PB)","Cássio Cunha Lima","M","PSDB","PB"
"60",2014,"2014-10-16","Senador Kaká Andrade (PDT/SE)","Kaká Andrade","M","PDT","SE"
"61",2014,"2014-03-12","Senador Romero Jucá (MDB/RR)","Romero Jucá","M","MDB","RR"
"62",2014,"2014-11-18","Senadora Vanessa Grazziotin (PCdoB/AM)","Vanessa Grazziotin","F","PC","AM"
"63",2014,"2014-05-07","Senador João Capiberibe (PSB/AP)","João Capiberibe","M","PSB","AP"
"64",2014,"2014-09-02","Senador Antonio Carlos Valadares (PSB/SE)","Antonio Carlos Valadares","M","PSB","SE"
"65",2014,"2014-11-19","Senador Kaká Andrade (PDT/SE)","Kaká Andrade","M","PDT","SE"
"66",2014,"2014-02-19","Senador Alvaro Dias (PSDB/PR)","Alvaro Dias","M","PSDB","PR"
"67",2014,"2014-03-13","Senador Roberto Requião (MDB/PR) e outros.","Roberto Requião","M","MDB","PR"
"68",2014,"2014-12-11","Senador Cícero Lucena (PSDB/PB)","Cícero Lucena","M","PSDB","PB"
"69",2015,"2015-04-13","Senador Alvaro Dias (PSDB/PR)","Alvaro Dias","M","PSDB","PR"
"70",2015,"2015-04-30","Senador Eunício Oliveira (MDB/CE)","Eunício Oliveira","M","MDB","CE"
"71",2015,"2015-09-02","Senadora Lídice da Mata (PSB/BA)","Lídice da Mata","F","PSB","BA"
"72",2015,"2015-11-10","Senador Davi Alcolumbre (DEM/AP)","Davi Alcolumbre","M","DEM","AP"
"73",2015,"2015-11-24","Senador Jorge Viana (PT/AC)","Jorge Viana","M","PT","AC"
"74",2015,"2015-03-04","Senador Roberto Rocha (PSB/MA)","Roberto Rocha","M","PSB","MA"
"75",2015,"2015-07-02","Senador Raimundo Lira (MDB/PB)","Raimundo Lira","M","MDB","PB"
"76",2015,"2015-09-09","Senador Delcídio do Amaral (PT/MS)","Delcídio do Amaral","M","PT","MS"
"77",2015,"2015-09-23","Senador Donizeti Nogueira (PT/TO)","Donizeti Nogueira","M","PT","TO"
"78",2015,"2015-10-22","Senador Wilder Morais (PP/GO)","Wilder Morais","M","PP","GO"
"79",2015,"2015-11-05","Senador Raimundo Lira (MDB/PB)","Raimundo Lira","M","MDB","PB"
"80",2015,"2015-11-19","Senador Ciro Nogueira (PP/PI)","Ciro Nogueira","M","PP","PI"
"81",2015,"2015-12-17","Senadora Marta Suplicy (MDB/SP)","Marta Suplicy","F","MDB","SP"
"82",2015,"2015-02-04","Senador Humberto Costa (PT/PE)","Humberto Costa","M","PT","PE"
"83",2015,"2015-07-07","Senador Jorge Viana (PT/AC)","Jorge Viana","M","PT","AC"
"84",2015,"2015-09-08","Senador José Agripino (DEM/RN)","José Agripino","M","DEM","RN"
"85",2015,"2015-09-23","Senador Marcelo Crivella (REPUBLICANOS/RJ)","Marcelo Crivella","M","REPUBLICANOS","RJ"
"86",2015,"2015-09-29","Senador Romero Jucá (MDB/RR)","Romero Jucá","M","MDB","RR"
"87",2015,"2015-10-07","Senador Wellington Fagundes (PL/MT)","Wellington Fagundes","M","PL","MT"
"88",2015,"2015-10-28","Senador Otto Alencar (PSD/BA)","Otto Alencar","M","PSD","BA"
"89",2015,"2015-11-10","Senador Wellington Fagundes (PL/MT)","Wellington Fagundes","M","PL","MT"
"90",2015,"2015-02-04","Senador Ivo Cassol (PP/RO)","Ivo Cassol","M","PP","RO"
"91",2015,"2015-04-15","Senador Wilder Morais (DEM/GO)","Wilder Morais","M","DEM","GO"
"92",2015,"2015-04-16","Senador Fernando Bezerra Coelho (PSB/PE)","Fernando Bezerra Coelho","M","PSB","PE"
"93",2015,"2015-04-27","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO"
"94",2015,"2015-05-26","Senador Davi Alcolumbre (DEM/AP)","Davi Alcolumbre","M","DEM","AP"
"95",2015,"2015-10-28","Senador Cristovam Buarque (PDT/DF)","Cristovam Buarque","M","PDT","DF"
"96",2015,"2015-11-03","Senador Cristovam Buarque (PDT/DF)","Cristovam Buarque","M","PDT","DF"
"97",2015,"2015-04-08","Senador Otto Alencar (PSD/BA)","Otto Alencar","M","PSD","BA"
"98",2015,"2015-04-08","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO"
"99",2015,"2015-04-15","Senador Cássio Cunha Lima (PSDB/PB)","Cássio Cunha Lima","M","PSDB","PB"
"100",2015,"2015-06-30","Senador Flexa Ribeiro (PSDB/PA)","Flexa Ribeiro","M","PSDB","PA"
"101",2015,"2015-07-02","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO"
"102",2015,"2015-08-04","Senadora Sandra Braga (MDB/AM)","Sandra Braga","F","MDB","AM"
"103",2015,"2015-09-29","Senadora Gleisi Hoffmann (PT/PR)","Gleisi Hoffmann","F","PT","PR"
"104",2015,"2015-11-17","Senador Antonio Anastasia (PSDB/MG)","Antonio Anastasia","M","PSDB","MG"
"105",2015,"2015-03-12","Senador Wilder Morais (DEM/GO)","Wilder Morais","M","DEM","GO"
"106",2015,"2015-09-09","Senador Donizeti Nogueira (PT/TO)","Donizeti Nogueira","M","PT","TO"
"107",2015,"2015-11-24","Senador Randolfe Rodrigues (REDE/AP)","Randolfe Rodrigues","M","REDE","AP"
"108",2015,"2015-12-03","Senador Valdir Raupp (MDB/RO)","Valdir Raupp","M","MDB","RO"
"109",2015,"2015-02-10","Senador Wilder Morais (DEM/GO)","Wilder Morais","M","DEM","GO"
