"doc_id","topic","probability","is_topic_dominant"
"1","1",0.000793941387141918,0
"1","2",0.000793941387141921,0
"1","3",0.00079394138714192,0
"1","4",0.00079394138714192,0
"1","5",0.000793941387141927,0
"1","6",0.000793941387141919,0
"1","7",0.00079394138714192,0
"1","8",0.000793941387141917,0
"1","9",0.000793941387141929,0
"1","10",0.992854527515723,1
"2","1",0.00185648949895353,0
"2","2",0.0999190570589851,0
"2","3",0.00185648949895353,0
"2","4",0.00185648949895354,0
"2","5",0.00185648949895354,0
"2","6",0.00185648949895353,0
"2","7",0.00185648949895354,0
"2","8",0.00185648949895353,0
"2","9",0.00185648949895353,0
"2","10",0.885229026949387,1
"3","1",0.00157537521842205,0
"3","2",0.00157537521842205,0
"3","3",0.152821029757428,0
"3","4",0.00157537521842207,0
"3","5",0.00157537521842203,0
"3","6",0.00157537521842207,0
"3","7",0.261807477805123,0
"3","8",0.574343865908494,1
"3","9",0.00157537521842206,0
"3","10",0.00157537521842206,0
"4","1",0.00253502463624819,0
"4","2",0.00253502463624818,0
"4","3",0.977184778273766,1
"4","4",0.00253502463624819,0
"4","5",0.00253502463624818,0
"4","6",0.00253502463624819,0
"4","7",0.00253502463624818,0
"4","8",0.00253502463624819,0
"4","9",0.00253502463624819,0
"4","10",0.00253502463624819,0
"5","1",0.00136819909189009,0
"5","2",0.00136819909189006,0
"5","3",0.00136819909189005,0
"5","4",0.00136819909189008,0
"5","5",0.00136819909189008,0
"5","6",0.0013681990918901,0
"5","7",0.593159004581266,1
"5","8",0.110672695414605,0
"5","9",0.286590906360898,0
"5","10",0.00136819909189008,0
"6","1",0.519481431481935,1
"6","2",0.00170441890387143,0
"6","3",0.00170441890387144,0
"6","4",0.00170441890387144,0
"6","5",0.00170441890387144,0
"6","6",0.00170441890387143,0
"6","7",0.397944689762862,0
"6","8",0.00170441890387144,0
"6","9",0.00170441890387143,0
"6","10",0.070642946428103,0
"7","1",0.00399527075917908,0
"7","2",0.196004729235232,0
"7","3",0.00399527075917908,0
"7","4",0.772033104691335,1
"7","5",0.00399527075917907,0
"7","6",0.00399527075917908,0
"7","7",0.00399527075917908,0
"7","8",0.00399527075917908,0
"7","9",0.00399527075917908,0
"7","10",0.00399527075917908,0
"8","1",0.00399527075917908,0
"8","2",0.00399527075917908,0
"8","3",0.00399527075917908,0
"8","4",0.00399527075917907,0
"8","5",0.00399527075917908,0
"8","6",0.964042563167388,1
"8","7",0.00399527075917908,0
"8","8",0.00399527075917908,0
"8","9",0.00399527075917908,0
"8","10",0.00399527075917907,0
"9","1",0.00157537521842207,0
"9","2",0.00157537521842207,0
"9","3",0.00157537521842207,0
"9","4",0.00157537521842207,0
"9","5",0.00157537521842207,0
"9","6",0.00157537521842208,0
"9","7",0.00157537521842206,0
"9","8",0.985821623034201,1
"9","9",0.00157537521842207,0
"9","10",0.00157537521842202,0
"10","1",0.00288671687229913,0
"10","2",0.00288671687229913,0
"10","3",0.00288671687229913,0
"10","4",0.00288671687229913,0
"10","5",0.00288671687229913,0
"10","6",0.00288671687229913,0
"10","7",0.00288671687229913,0
"10","8",0.974019548149308,1
"10","9",0.00288671687229913,0
"10","10",0.00288671687229913,0
"11","1",0.000793941387141953,0
"11","2",0.000793941387141928,0
"11","3",0.000793941387141933,0
"11","4",0.00079394138714192,0
"11","5",0.000793941387141913,0
"11","6",0.000793941387141942,0
"11","7",0.992854527515723,1
"11","8",0.000793941387141923,0
"11","9",0.000793941387141927,0
"11","10",0.000793941387141916,0
"12","1",0.00253502463624818,0
"12","2",0.00253502463624818,0
"12","3",0.00253502463624818,0
"12","4",0.00253502463624819,0
"12","5",0.00253502463624818,0
"12","6",0.00253502463624819,0
"12","7",0.00253502463624818,0
"12","8",0.00253502463624818,0
"12","9",0.00253502463624819,0
"12","10",0.977184778273766,1
"13","1",0.00288671687229913,0
"13","2",0.00288671687229913,0
"13","3",0.00288671687229912,0
"13","4",0.00288671687229913,0
"13","5",0.00288671687229913,0
"13","6",0.00288671687229913,0
"13","7",0.00288671687229913,0
"13","8",0.974019548149308,1
"13","9",0.00288671687229913,0
"13","10",0.00288671687229912,0
"14","1",0.00128378444409107,0
"14","2",0.00128378444409108,0
"14","3",0.659555406678002,1
"14","4",0.00128378444409107,0
"14","5",0.00128378444409107,0
"14","6",0.00128378444409103,0
"14","7",0.00128378444409105,0
